Applicable At,Applicable For,Data Item,Value,Generated Time,Quality Indicator
"01/01/2023 00:00:00","01/01/2023","NTS Energy Offtaken, Industrial Offtake Total","40499716.0000","02/01/2023 14:01:00","A"
"31/12/2022 00:00:00","31/12/2022","NTS Energy Offtaken, Industrial Offtake Total","41136766.0000","04/01/2023 14:01:01","A"
"30/12/2022 00:00:00","30/12/2022","NTS Energy Offtaken, Industrial Offtake Total","39916179.0000","02/01/2023 12:01:00","A"
"29/12/2022 00:00:00","29/12/2022","NTS Energy Offtaken, Industrial Offtake Total","36725922.0000","31/12/2022 12:01:00","A"
"28/12/2022 00:00:00","28/12/2022","NTS Energy Offtaken, Industrial Offtake Total","44040004.0000","29/12/2022 16:01:00","A"
"27/12/2022 00:00:00","27/12/2022","NTS Energy Offtaken, Industrial Offtake Total","54017847.0000","29/12/2022 14:01:01","A"
"26/12/2022 00:00:00","26/12/2022","NTS Energy Offtaken, Industrial Offtake Total","51520336.0000","29/12/2022 14:01:01","A"
"25/12/2022 00:00:00","25/12/2022","NTS Energy Offtaken, Industrial Offtake Total","52943410.0000","27/12/2022 12:01:00","A"
"24/12/2022 00:00:00","24/12/2022","NTS Energy Offtaken, Industrial Offtake Total","53748153.0000","28/12/2022 12:01:00","A"
"23/12/2022 00:00:00","23/12/2022","NTS Energy Offtaken, Industrial Offtake Total","57392654.0000","24/12/2022 12:01:00","L"
"22/12/2022 00:00:00","22/12/2022","NTS Energy Offtaken, Industrial Offtake Total","57532092.0000","27/12/2022 12:01:00","A"
"21/12/2022 00:00:00","21/12/2022","NTS Energy Offtaken, Industrial Offtake Total","54195406.0000","28/12/2022 11:58:00","L"
"20/12/2022 00:00:00","20/12/2022","NTS Energy Offtaken, Industrial Offtake Total","67796626.0000","22/12/2022 16:01:01","A"
"19/12/2022 00:00:00","19/12/2022","NTS Energy Offtaken, Industrial Offtake Total","51219611.0000","20/12/2022 14:01:00","A"
"18/12/2022 00:00:00","18/12/2022","NTS Energy Offtaken, Industrial Offtake Total","54896019.0000","19/12/2022 16:01:00","A"
"17/12/2022 00:00:00","17/12/2022","NTS Energy Offtaken, Industrial Offtake Total","63485078.0000","19/12/2022 12:01:00","A"
"16/12/2022 00:00:00","16/12/2022","NTS Energy Offtaken, Industrial Offtake Total","64105970.0000","18/12/2022 12:01:00","A"
"15/12/2022 00:00:00","15/12/2022","NTS Energy Offtaken, Industrial Offtake Total","68288531.0000","19/12/2022 14:01:01","A"
"14/12/2022 00:00:00","14/12/2022","NTS Energy Offtaken, Industrial Offtake Total","86602661.0000","19/12/2022 14:01:01","A"
"13/12/2022 00:00:00","13/12/2022","NTS Energy Offtaken, Industrial Offtake Total","85144153.0000","14/12/2022 12:01:00","L"
"12/12/2022 00:00:00","12/12/2022","NTS Energy Offtaken, Industrial Offtake Total","91270767.0000","15/12/2022 12:01:01","A"
"11/12/2022 00:00:00","11/12/2022","NTS Energy Offtaken, Industrial Offtake Total","65315616.0000","12/12/2022 16:01:01","A"
