Applicable At,Applicable For,Data Item,Value,Generated Time,Quality Indicator
"29/05/2023 01:00:00","29/05/2023","NTS Energy Offtaken, LDZ Offtake Total","611838432.0000","02/06/2023 12:01:00","A"
"28/05/2023 01:00:00","28/05/2023","NTS Energy Offtaken, LDZ Offtake Total","549911983.0000","02/06/2023 12:01:00","A"
"27/05/2023 01:00:00","27/05/2023","NTS Energy Offtaken, LDZ Offtake Total","545612465.0000","31/05/2023 16:01:01","A"
"26/05/2023 01:00:00","26/05/2023","NTS Energy Offtaken, LDZ Offtake Total","628263860.0000","31/05/2023 16:01:01","A"
"25/05/2023 01:00:00","25/05/2023","NTS Energy Offtaken, LDZ Offtake Total","658574138.0000","30/05/2023 16:01:00","A"
"24/05/2023 01:00:00","24/05/2023","NTS Energy Offtaken, LDZ Offtake Total","660712764.0000","27/05/2023 12:01:00","A"
"23/05/2023 01:00:00","23/05/2023","NTS Energy Offtaken, LDZ Offtake Total","680726884.0000","26/05/2023 16:01:01","A"
"22/05/2023 01:00:00","22/05/2023","NTS Energy Offtaken, LDZ Offtake Total","681330474.0000","26/05/2023 16:01:01","A"
"21/05/2023 01:00:00","21/05/2023","NTS Energy Offtaken, LDZ Offtake Total","633103120.0000","24/05/2023 16:01:01","A"
"20/05/2023 01:00:00","20/05/2023","NTS Energy Offtaken, LDZ Offtake Total","631667057.0000","24/05/2023 16:01:01","A"
"19/05/2023 01:00:00","19/05/2023","NTS Energy Offtaken, LDZ Offtake Total","731742835.0000","24/05/2023 16:01:01","A"
"18/05/2023 01:00:00","18/05/2023","NTS Energy Offtaken, LDZ Offtake Total","721751032.0000","23/05/2023 14:01:00","A"
"17/05/2023 01:00:00","17/05/2023","NTS Energy Offtaken, LDZ Offtake Total","767862865.0000","20/05/2023 12:01:00","A"
"16/05/2023 01:00:00","16/05/2023","NTS Energy Offtaken, LDZ Offtake Total","829244459.0000","20/05/2023 12:01:00","A"
"15/05/2023 01:00:00","15/05/2023","NTS Energy Offtaken, LDZ Offtake Total","815302118.0000","20/05/2023 12:01:00","A"
"14/05/2023 01:00:00","14/05/2023","NTS Energy Offtaken, LDZ Offtake Total","770601292.0000","17/05/2023 16:01:00","A"
"13/05/2023 01:00:00","13/05/2023","NTS Energy Offtaken, LDZ Offtake Total","861184429.0000","17/05/2023 16:01:00","A"
"12/05/2023 01:00:00","12/05/2023","NTS Energy Offtaken, LDZ Offtake Total","932121694.0000","17/05/2023 16:01:00","A"
"11/05/2023 01:00:00","11/05/2023","NTS Energy Offtaken, LDZ Offtake Total","821189057.0000","16/05/2023 16:01:01","A"
"10/05/2023 01:00:00","10/05/2023","NTS Energy Offtaken, LDZ Offtake Total","827168923.0000","12/05/2023 16:01:01","A"
"09/05/2023 01:00:00","09/05/2023","NTS Energy Offtaken, LDZ Offtake Total","806567452.0000","12/05/2023 16:01:01","A"
"08/05/2023 01:00:00","08/05/2023","NTS Energy Offtaken, LDZ Offtake Total","826070331.0000","12/05/2023 16:01:01","A"
"07/05/2023 01:00:00","07/05/2023","NTS Energy Offtaken, LDZ Offtake Total","697073902.0000","10/05/2023 16:01:00","A"
"06/05/2023 01:00:00","06/05/2023","NTS Energy Offtaken, LDZ Offtake Total","803390099.0000","10/05/2023 16:01:00","A"
"05/05/2023 01:00:00","05/05/2023","NTS Energy Offtaken, LDZ Offtake Total","863981580.0000","10/05/2023 16:01:00","A"
"04/05/2023 01:00:00","04/05/2023","NTS Energy Offtaken, LDZ Offtake Total","1016702384.0000","09/05/2023 14:01:00","A"
"03/05/2023 01:00:00","03/05/2023","NTS Energy Offtaken, LDZ Offtake Total","974892647.0000","05/05/2023 16:01:00","A"
"02/05/2023 01:00:00","02/05/2023","NTS Energy Offtaken, LDZ Offtake Total","1000660250.0000","05/05/2023 12:01:01","A"
"01/05/2023 01:00:00","01/05/2023","NTS Energy Offtaken, LDZ Offtake Total","913167115.0000","05/05/2023 12:01:01","A"
"30/04/2023 01:00:00","30/04/2023","NTS Energy Offtaken, LDZ Offtake Total","919772770.0000","03/05/2023 12:03:01","A"
"29/04/2023 01:00:00","29/04/2023","NTS Energy Offtaken, LDZ Offtake Total","955439171.0000","03/05/2023 16:01:00","A"
"28/04/2023 01:00:00","28/04/2023","NTS Energy Offtaken, LDZ Offtake Total","1180254836.0000","03/05/2023 16:01:00","A"
"27/04/2023 01:00:00","27/04/2023","NTS Energy Offtaken, LDZ Offtake Total","1446628499.0000","02/05/2023 14:01:01","A"
"26/04/2023 01:00:00","26/04/2023","NTS Energy Offtaken, LDZ Offtake Total","1400782821.0000","29/04/2023 12:01:00","A"
"25/04/2023 01:00:00","25/04/2023","NTS Energy Offtaken, LDZ Offtake Total","1399473354.0000","29/04/2023 12:01:00","A"
"24/04/2023 01:00:00","24/04/2023","NTS Energy Offtaken, LDZ Offtake Total","1400853241.0000","28/04/2023 16:01:01","A"
"23/04/2023 01:00:00","23/04/2023","NTS Energy Offtaken, LDZ Offtake Total","1182004576.0000","25/04/2023 16:01:00","A"
"22/04/2023 01:00:00","22/04/2023","NTS Energy Offtaken, LDZ Offtake Total","1177282943.0000","25/04/2023 16:01:00","A"
"21/04/2023 01:00:00","21/04/2023","NTS Energy Offtaken, LDZ Offtake Total","1352499322.0000","25/04/2023 16:01:00","A"
"20/04/2023 01:00:00","20/04/2023","NTS Energy Offtaken, LDZ Offtake Total","1224413782.0000","25/04/2023 16:01:00","A"
"19/04/2023 01:00:00","19/04/2023","NTS Energy Offtaken, LDZ Offtake Total","1208614398.0000","24/04/2023 16:01:01","A"
"18/04/2023 01:00:00","18/04/2023","NTS Energy Offtaken, LDZ Offtake Total","1206518516.0000","21/04/2023 16:01:00","A"
"17/04/2023 01:00:00","17/04/2023","NTS Energy Offtaken, LDZ Offtake Total","1145698754.0000","21/04/2023 16:01:00","A"
"16/04/2023 01:00:00","16/04/2023","NTS Energy Offtaken, LDZ Offtake Total","1169571279.0000","18/04/2023 16:01:01","A"
"15/04/2023 01:00:00","15/04/2023","NTS Energy Offtaken, LDZ Offtake Total","1237788357.0000","18/04/2023 16:01:01","A"
"14/04/2023 01:00:00","14/04/2023","NTS Energy Offtaken, LDZ Offtake Total","1575056288.0000","18/04/2023 16:01:01","A"
"13/04/2023 01:00:00","13/04/2023","NTS Energy Offtaken, LDZ Offtake Total","1478712896.0000","18/04/2023 16:01:01","A"
"12/04/2023 01:00:00","12/04/2023","NTS Energy Offtaken, LDZ Offtake Total","1625132361.0000","14/04/2023 16:01:00","A"
"11/04/2023 01:00:00","11/04/2023","NTS Energy Offtaken, LDZ Offtake Total","1451991664.0000","14/04/2023 16:01:00","A"
"10/04/2023 01:00:00","10/04/2023","NTS Energy Offtaken, LDZ Offtake Total","1183461408.0000","12/04/2023 16:01:01","A"
"09/04/2023 01:00:00","09/04/2023","NTS Energy Offtaken, LDZ Offtake Total","1095668406.0000","12/04/2023 16:01:01","A"
"08/04/2023 01:00:00","08/04/2023","NTS Energy Offtaken, LDZ Offtake Total","1107938787.0000","12/04/2023 16:01:01","A"
"07/04/2023 01:00:00","07/04/2023","NTS Energy Offtaken, LDZ Offtake Total","1197157665.0000","12/04/2023 16:01:01","A"
"06/04/2023 01:00:00","06/04/2023","NTS Energy Offtaken, LDZ Offtake Total","1327870363.0000","11/04/2023 17:01:01","A"
"05/04/2023 01:00:00","05/04/2023","NTS Energy Offtaken, LDZ Offtake Total","1099492304.0000","10/04/2023 16:01:01","A"
"04/04/2023 01:00:00","04/04/2023","NTS Energy Offtaken, LDZ Offtake Total","1446282810.0000","08/04/2023 12:01:00","A"
"03/04/2023 01:00:00","03/04/2023","NTS Energy Offtaken, LDZ Offtake Total","1537181565.0000","07/04/2023 12:01:00","A"
"02/04/2023 01:00:00","02/04/2023","NTS Energy Offtaken, LDZ Offtake Total","1460082522.0000","04/04/2023 16:01:01","A"
"01/04/2023 01:00:00","01/04/2023","NTS Energy Offtaken, LDZ Offtake Total","1434573400.0000","04/04/2023 16:01:01","A"
"31/03/2023 01:00:00","31/03/2023","NTS Energy Offtaken, LDZ Offtake Total","1390286776.0000","04/04/2023 16:01:01","A"
"30/03/2023 01:00:00","30/03/2023","NTS Energy Offtaken, LDZ Offtake Total","1276737488.0000","04/04/2023 16:01:01","A"
"29/03/2023 01:00:00","29/03/2023","NTS Energy Offtaken, LDZ Offtake Total","1498386386.0000","31/03/2023 14:01:01","A"
"28/03/2023 01:00:00","28/03/2023","NTS Energy Offtaken, LDZ Offtake Total","1833219857.0000","01/04/2023 14:01:01","A"
"27/03/2023 01:00:00","27/03/2023","NTS Energy Offtaken, LDZ Offtake Total","1623441654.0000","30/03/2023 20:01:01","A"
"26/03/2023 00:00:00","26/03/2023","NTS Energy Offtaken, LDZ Offtake Total","1595019723.0000","28/03/2023 16:01:01","A"
"25/03/2023 00:00:00","25/03/2023","NTS Energy Offtaken, LDZ Offtake Total","1340192637.0000","28/03/2023 16:01:01","A"
"24/03/2023 00:00:00","24/03/2023","NTS Energy Offtaken, LDZ Offtake Total","1406656922.0000","28/03/2023 16:01:01","A"
"23/03/2023 00:00:00","23/03/2023","NTS Energy Offtaken, LDZ Offtake Total","1427097609.0000","28/03/2023 16:01:01","A"
"22/03/2023 00:00:00","22/03/2023","NTS Energy Offtaken, LDZ Offtake Total","1382421050.0000","24/03/2023 12:01:01","A"
"21/03/2023 00:00:00","21/03/2023","NTS Energy Offtaken, LDZ Offtake Total","1396911761.0000","23/03/2023 16:01:01","A"
"20/03/2023 00:00:00","20/03/2023","NTS Energy Offtaken, LDZ Offtake Total","1576458808.0000","23/03/2023 16:01:01","A"
"19/03/2023 00:00:00","19/03/2023","NTS Energy Offtaken, LDZ Offtake Total","1468808294.0000","22/03/2023 12:01:00","A"
"18/03/2023 00:00:00","18/03/2023","NTS Energy Offtaken, LDZ Offtake Total","1288628849.0000","22/03/2023 12:01:00","A"
"17/03/2023 00:00:00","17/03/2023","NTS Energy Offtaken, LDZ Offtake Total","1417721655.0000","22/03/2023 12:01:00","A"
"16/03/2023 00:00:00","16/03/2023","NTS Energy Offtaken, LDZ Offtake Total","1692173077.0000","20/03/2023 16:01:01","A"
"15/03/2023 00:00:00","15/03/2023","NTS Energy Offtaken, LDZ Offtake Total","2120613099.0000","17/03/2023 16:01:00","A"
"14/03/2023 00:00:00","14/03/2023","NTS Energy Offtaken, LDZ Offtake Total","1991583309.0000","17/03/2023 16:01:00","A"
"13/03/2023 00:00:00","13/03/2023","NTS Energy Offtaken, LDZ Offtake Total","1646638462.0000","17/03/2023 16:01:00","A"
"12/03/2023 00:00:00","12/03/2023","NTS Energy Offtaken, LDZ Offtake Total","1668140080.0000","14/03/2023 14:01:00","A"
