Applicable At,Applicable For,Data Item,Value,Generated Time,Quality Indicator
29/05/2023 19:14:30,28/05/2023,"Demand, Actual DM, LDZ(EA), D+1",7891842,29/05/2023 19:18:01,L
28/05/2023 19:14:41,27/05/2023,"Demand, Actual DM, LDZ(EA), D+1",8488119,28/05/2023 19:17:00,L
27/05/2023 19:17:29,26/05/2023,"Demand, Actual DM, LDZ(EA), D+1",9113269,27/05/2023 19:20:00,L
26/05/2023 19:13:42,25/05/2023,"Demand, Actual DM, LDZ(EA), D+1",9069726,26/05/2023 19:17:00,L
25/05/2023 19:16:48,24/05/2023,"Demand, Actual DM, LDZ(EA), D+1",9479097,25/05/2023 19:19:01,L
24/05/2023 19:15:33,23/05/2023,"Demand, Actual DM, LDZ(EA), D+1",9795875,24/05/2023 19:18:00,L
23/05/2023 19:17:51,22/05/2023,"Demand, Actual DM, LDZ(EA), D+1",10151478,23/05/2023 19:21:00,L
22/05/2023 19:21:06,21/05/2023,"Demand, Actual DM, LDZ(EA), D+1",9059972,22/05/2023 19:24:01,L
21/05/2023 19:15:57,20/05/2023,"Demand, Actual DM, LDZ(EA), D+1",9122312,21/05/2023 19:19:01,L
20/05/2023 19:16:16,19/05/2023,"Demand, Actual DM, LDZ(EA), D+1",9639613,20/05/2023 19:19:00,L
19/05/2023 19:15:50,18/05/2023,"Demand, Actual DM, LDZ(EA), D+1",9534313,19/05/2023 19:19:01,L
18/05/2023 19:15:50,17/05/2023,"Demand, Actual DM, LDZ(EA), D+1",9778801,18/05/2023 19:19:00,L
17/05/2023 19:15:28,16/05/2023,"Demand, Actual DM, LDZ(EA), D+1",9658382,17/05/2023 19:18:01,L
16/05/2023 19:14:36,15/05/2023,"Demand, Actual DM, LDZ(EA), D+1",10047959,16/05/2023 19:18:01,L
15/05/2023 19:13:58,14/05/2023,"Demand, Actual DM, LDZ(EA), D+1",9284129,15/05/2023 19:17:01,L
14/05/2023 19:15:11,13/05/2023,"Demand, Actual DM, LDZ(EA), D+1",9787292,14/05/2023 19:18:01,L
13/05/2023 19:15:06,12/5/2023,"Demand, Actual DM, LDZ(EA), D+1",9800175,13/05/2023 19:18:00,L
