Applicable At,Applicable For,Data Item,Value,Generated Time,Quality Indicator
"29/05/2023 19:14:30","28/05/2023","Demand, Actual DM, LDZ(NO), D+1","15641660.0000","29/05/2023 19:18:01","L"
"28/05/2023 19:14:41","27/05/2023","Demand, Actual DM, LDZ(NO), D+1","15679226.0000","28/05/2023 19:17:00","L"
"27/05/2023 19:17:29","26/05/2023","Demand, Actual DM, LDZ(NO), D+1","16305296.0000","27/05/2023 19:20:00","L"
"26/05/2023 19:13:42","25/05/2023","Demand, Actual DM, LDZ(NO), D+1","18532654.0000","26/05/2023 19:17:00","L"
"25/05/2023 19:16:48","24/05/2023","Demand, Actual DM, LDZ(NO), D+1","16773169.0000","25/05/2023 19:19:01","L"
"24/05/2023 19:15:33","23/05/2023","Demand, Actual DM, LDZ(NO), D+1","18576342.0000","24/05/2023 19:18:00","L"
"23/05/2023 19:17:51","22/05/2023","Demand, Actual DM, LDZ(NO), D+1","18195562.0000","23/05/2023 19:21:00","L"
"22/05/2023 19:21:06","21/05/2023","Demand, Actual DM, LDZ(NO), D+1","16592495.0000","22/05/2023 19:24:01","L"
"21/05/2023 19:15:57","20/05/2023","Demand, Actual DM, LDZ(NO), D+1","17100671.0000","21/05/2023 19:19:01","L"
"20/05/2023 19:16:16","19/05/2023","Demand, Actual DM, LDZ(NO), D+1","18032167.0000","20/05/2023 19:19:00","L"
"19/05/2023 19:15:50","18/05/2023","Demand, Actual DM, LDZ(NO), D+1","16821838.0000","19/05/2023 19:19:01","L"
"18/05/2023 19:15:50","17/05/2023","Demand, Actual DM, LDZ(NO), D+1","18063851.0000","18/05/2023 19:19:00","L"
"17/05/2023 19:15:28","16/05/2023","Demand, Actual DM, LDZ(NO), D+1","17466204.0000","17/05/2023 19:18:01","L"
"16/05/2023 19:14:36","15/05/2023","Demand, Actual DM, LDZ(NO), D+1","18379141.0000","16/05/2023 19:18:01","L"
"15/05/2023 19:13:58","14/05/2023","Demand, Actual DM, LDZ(NO), D+1","16931297.0000","15/05/2023 19:17:01","L"
"14/05/2023 19:15:11","13/05/2023","Demand, Actual DM, LDZ(NO), D+1","16889082.0000","14/05/2023 19:18:01","L"
"13/05/2023 19:15:06","12/05/2023","Demand, Actual DM, LDZ(NO), D+1","18925536.0000","13/05/2023 19:18:00","L"
"12/05/2023 19:14:34","11/05/2023","Demand, Actual DM, LDZ(NO), D+1","17945843.0000","12/05/2023 19:18:00","L"
"11/05/2023 19:15:18","10/05/2023","Demand, Actual DM, LDZ(NO), D+1","17209483.0000","11/05/2023 19:25:01","L"
"10/05/2023 19:14:39","09/05/2023","Demand, Actual DM, LDZ(NO), D+1","16837127.0000","10/05/2023 19:17:00","L"
"09/05/2023 19:15:27","08/05/2023","Demand, Actual DM, LDZ(NO), D+1","17568358.0000","09/05/2023 19:18:01","L"
"08/05/2023 19:14:33","07/05/2023","Demand, Actual DM, LDZ(NO), D+1","16702032.0000","08/05/2023 19:17:01","L"
"07/05/2023 19:15:22","06/05/2023","Demand, Actual DM, LDZ(NO), D+1","17463654.0000","07/05/2023 19:18:01","L"
"06/05/2023 19:16:30","05/05/2023","Demand, Actual DM, LDZ(NO), D+1","18874334.0000","06/05/2023 19:20:01","L"
"05/05/2023 19:14:48","04/05/2023","Demand, Actual DM, LDZ(NO), D+1","20425722.0000","05/05/2023 19:18:00","L"
"04/05/2023 19:15:48","03/05/2023","Demand, Actual DM, LDZ(NO), D+1","20085140.0000","04/05/2023 19:18:01","L"
"03/05/2023 19:16:41","02/05/2023","Demand, Actual DM, LDZ(NO), D+1","19251711.0000","03/05/2023 19:20:01","L"
"02/05/2023 19:14:34","01/05/2023","Demand, Actual DM, LDZ(NO), D+1","17813951.0000","02/05/2023 19:18:01","L"
"01/05/2023 19:14:29","30/04/2023","Demand, Actual DM, LDZ(NO), D+1","17740579.0000","01/05/2023 19:17:00","L"
"30/04/2023 19:14:24","29/04/2023","Demand, Actual DM, LDZ(NO), D+1","17656986.0000","30/04/2023 19:17:00","L"
"29/04/2023 19:15:55","28/04/2023","Demand, Actual DM, LDZ(NO), D+1","19411823.0000","29/04/2023 19:18:01","L"
"28/04/2023 19:14:40","27/04/2023","Demand, Actual DM, LDZ(NO), D+1","19507082.0000","28/04/2023 19:18:00","L"
"27/04/2023 19:15:13","26/04/2023","Demand, Actual DM, LDZ(NO), D+1","19729785.0000","27/04/2023 19:19:01","L"
"26/04/2023 19:14:49","25/04/2023","Demand, Actual DM, LDZ(NO), D+1","18263784.0000","26/04/2023 19:18:01","L"
"25/04/2023 19:15:07","24/04/2023","Demand, Actual DM, LDZ(NO), D+1","17638848.0000","25/04/2023 19:18:01","L"
"24/04/2023 19:13:52","23/04/2023","Demand, Actual DM, LDZ(NO), D+1","15984108.0000","24/04/2023 19:17:00","L"
"23/04/2023 19:13:47","22/04/2023","Demand, Actual DM, LDZ(NO), D+1","16540571.0000","23/04/2023 19:17:01","L"
"22/04/2023 19:15:27","21/04/2023","Demand, Actual DM, LDZ(NO), D+1","17320058.0000","22/04/2023 19:18:00","L"
"21/04/2023 19:24:00","20/04/2023","Demand, Actual DM, LDZ(NO), D+1","17070756.0000","21/04/2023 19:27:00","L"
"20/04/2023 19:13:29","19/04/2023","Demand, Actual DM, LDZ(NO), D+1","17307149.0000","20/04/2023 19:16:01","L"
"19/04/2023 19:14:26","18/04/2023","Demand, Actual DM, LDZ(NO), D+1","15890261.0000","19/04/2023 19:18:00","L"
"18/04/2023 19:15:36","17/04/2023","Demand, Actual DM, LDZ(NO), D+1","17071054.0000","18/04/2023 19:18:00","L"
"17/04/2023 19:15:59","16/04/2023","Demand, Actual DM, LDZ(NO), D+1","15932678.0000","17/04/2023 19:19:01","L"
"16/04/2023 19:15:30","15/04/2023","Demand, Actual DM, LDZ(NO), D+1","16441244.0000","16/04/2023 19:19:00","L"
"15/04/2023 19:15:26","14/04/2023","Demand, Actual DM, LDZ(NO), D+1","17366555.0000","15/04/2023 19:18:01","L"
"14/04/2023 19:15:38","13/04/2023","Demand, Actual DM, LDZ(NO), D+1","17990725.0000","14/04/2023 19:19:00","L"
"13/04/2023 19:14:28","12/04/2023","Demand, Actual DM, LDZ(NO), D+1","18663288.0000","13/04/2023 19:17:00","L"
"12/04/2023 19:15:42","11/04/2023","Demand, Actual DM, LDZ(NO), D+1","18720282.0000","12/04/2023 19:18:01","L"
"11/04/2023 19:13:56","10/04/2023","Demand, Actual DM, LDZ(NO), D+1","15790993.0000","11/04/2023 19:17:01","L"
"09/04/2023 19:15:42","08/04/2023","Demand, Actual DM, LDZ(NO), D+1","15148092.0000","09/04/2023 19:19:00","L"
"08/04/2023 19:15:10","07/04/2023","Demand, Actual DM, LDZ(NO), D+1","16007976.0000","08/04/2023 19:18:00","L"
"07/04/2023 19:13:28","06/04/2023","Demand, Actual DM, LDZ(NO), D+1","17399795.0000","07/04/2023 19:16:01","L"
"06/04/2023 19:14:51","05/04/2023","Demand, Actual DM, LDZ(NO), D+1","17321960.0000","06/04/2023 19:18:01","L"
"05/04/2023 19:15:28","04/04/2023","Demand, Actual DM, LDZ(NO), D+1","17564439.0000","05/04/2023 19:18:01","L"
"04/04/2023 19:14:04","03/04/2023","Demand, Actual DM, LDZ(NO), D+1","17467372.0000","04/04/2023 19:17:01","L"
