Applicable At,Applicable For,Data Item,Value,Generated Time,Quality Indicator
"29/05/2023 19:14:30","28/05/2023","Demand, Actual DM, LDZ(SC), D+1","17463252.0000","29/05/2023 19:18:01","L"
"28/05/2023 19:14:41","27/05/2023","Demand, Actual DM, LDZ(SC), D+1","17861805.0000","28/05/2023 19:17:00","L"
"27/05/2023 19:17:29","26/05/2023","Demand, Actual DM, LDZ(SC), D+1","19035834.0000","27/05/2023 19:20:00","L"
"26/05/2023 19:13:42","25/05/2023","Demand, Actual DM, LDZ(SC), D+1","20171524.0000","26/05/2023 19:17:00","L"
"25/05/2023 19:16:48","24/05/2023","Demand, Actual DM, LDZ(SC), D+1","20710667.0000","25/05/2023 19:19:01","L"
"24/05/2023 19:15:33","23/05/2023","Demand, Actual DM, LDZ(SC), D+1","20445730.0000","24/05/2023 19:18:00","L"
"23/05/2023 19:17:51","22/05/2023","Demand, Actual DM, LDZ(SC), D+1","20041081.0000","23/05/2023 19:21:00","L"
"22/05/2023 19:21:06","21/05/2023","Demand, Actual DM, LDZ(SC), D+1","18572317.0000","22/05/2023 19:24:01","L"
"21/05/2023 19:15:57","20/05/2023","Demand, Actual DM, LDZ(SC), D+1","18302119.0000","21/05/2023 19:19:01","L"
"20/05/2023 19:16:16","19/05/2023","Demand, Actual DM, LDZ(SC), D+1","21556894.0000","20/05/2023 19:19:00","L"
"19/05/2023 19:15:50","18/05/2023","Demand, Actual DM, LDZ(SC), D+1","23068098.0000","19/05/2023 19:19:01","L"
"18/05/2023 19:15:50","17/05/2023","Demand, Actual DM, LDZ(SC), D+1","22678244.0000","18/05/2023 19:19:00","L"
"17/05/2023 19:15:28","16/05/2023","Demand, Actual DM, LDZ(SC), D+1","23332130.0000","17/05/2023 19:18:01","L"
"16/05/2023 19:14:36","15/05/2023","Demand, Actual DM, LDZ(SC), D+1","22797514.0000","16/05/2023 19:18:01","L"
"15/05/2023 19:13:58","14/05/2023","Demand, Actual DM, LDZ(SC), D+1","22790878.0000","15/05/2023 19:17:01","L"
"14/05/2023 19:15:11","13/05/2023","Demand, Actual DM, LDZ(SC), D+1","22866067.0000","14/05/2023 19:18:01","L"
"13/05/2023 19:15:06","12/05/2023","Demand, Actual DM, LDZ(SC), D+1","23519813.0000","13/05/2023 19:18:00","L"
"12/05/2023 19:14:34","11/05/2023","Demand, Actual DM, LDZ(SC), D+1","23424969.0000","12/05/2023 19:18:00","L"
"11/05/2023 19:15:18","10/05/2023","Demand, Actual DM, LDZ(SC), D+1","23624565.0000","11/05/2023 19:25:01","L"
"10/05/2023 19:14:39","09/05/2023","Demand, Actual DM, LDZ(SC), D+1","22181359.0000","10/05/2023 19:17:00","L"
"09/05/2023 19:15:27","08/05/2023","Demand, Actual DM, LDZ(SC), D+1","20583098.0000","09/05/2023 19:18:01","L"
"08/05/2023 19:14:33","07/05/2023","Demand, Actual DM, LDZ(SC), D+1","19476084.0000","08/05/2023 19:17:01","L"
"07/05/2023 19:15:22","06/05/2023","Demand, Actual DM, LDZ(SC), D+1","20168282.0000","07/05/2023 19:18:01","L"
"06/05/2023 19:16:30","05/05/2023","Demand, Actual DM, LDZ(SC), D+1","21229745.0000","06/05/2023 19:20:01","L"
"05/05/2023 19:14:48","04/05/2023","Demand, Actual DM, LDZ(SC), D+1","21593112.0000","05/05/2023 19:18:00","L"
"04/05/2023 19:15:48","03/05/2023","Demand, Actual DM, LDZ(SC), D+1","21903397.0000","04/05/2023 19:18:01","L"
"03/05/2023 19:16:41","02/05/2023","Demand, Actual DM, LDZ(SC), D+1","23732770.0000","03/05/2023 19:20:01","L"
"02/05/2023 19:14:34","01/05/2023","Demand, Actual DM, LDZ(SC), D+1","21000485.0000","02/05/2023 19:18:01","L"
"01/05/2023 19:14:29","30/04/2023","Demand, Actual DM, LDZ(SC), D+1","21579019.0000","01/05/2023 19:17:00","L"
"30/04/2023 19:14:24","29/04/2023","Demand, Actual DM, LDZ(SC), D+1","22067860.0000","30/04/2023 19:17:00","L"
"29/04/2023 19:15:55","28/04/2023","Demand, Actual DM, LDZ(SC), D+1","24581461.0000","29/04/2023 19:18:01","L"
"28/04/2023 19:14:40","27/04/2023","Demand, Actual DM, LDZ(SC), D+1","26308469.0000","28/04/2023 19:18:00","L"
"27/04/2023 19:15:13","26/04/2023","Demand, Actual DM, LDZ(SC), D+1","27777979.0000","27/04/2023 19:19:01","L"
"26/04/2023 19:14:49","25/04/2023","Demand, Actual DM, LDZ(SC), D+1","28469219.0000","26/04/2023 19:18:01","L"
"25/04/2023 19:15:07","24/04/2023","Demand, Actual DM, LDZ(SC), D+1","26857903.0000","25/04/2023 19:18:01","L"
"24/04/2023 19:13:52","23/04/2023","Demand, Actual DM, LDZ(SC), D+1","24665365.0000","24/04/2023 19:17:00","L"
"23/04/2023 19:13:47","22/04/2023","Demand, Actual DM, LDZ(SC), D+1","24005078.0000","23/04/2023 19:17:01","L"
"22/04/2023 19:15:27","21/04/2023","Demand, Actual DM, LDZ(SC), D+1","25134150.0000","22/04/2023 19:18:00","L"
"21/04/2023 19:24:00","20/04/2023","Demand, Actual DM, LDZ(SC), D+1","26421311.0000","21/04/2023 19:27:00","L"
"20/04/2023 19:13:29","19/04/2023","Demand, Actual DM, LDZ(SC), D+1","27780494.0000","20/04/2023 19:16:01","L"
"19/04/2023 19:14:26","18/04/2023","Demand, Actual DM, LDZ(SC), D+1","25841921.0000","19/04/2023 19:18:00","L"
"18/04/2023 19:15:36","17/04/2023","Demand, Actual DM, LDZ(SC), D+1","24785942.0000","18/04/2023 19:18:00","L"
"17/04/2023 19:15:59","16/04/2023","Demand, Actual DM, LDZ(SC), D+1","24261783.0000","17/04/2023 19:19:01","L"
"16/04/2023 19:15:30","15/04/2023","Demand, Actual DM, LDZ(SC), D+1","22468481.0000","16/04/2023 19:19:00","L"
"15/04/2023 19:15:26","14/04/2023","Demand, Actual DM, LDZ(SC), D+1","24187053.0000","15/04/2023 19:18:01","L"
"14/04/2023 19:15:38","13/04/2023","Demand, Actual DM, LDZ(SC), D+1","24485291.0000","14/04/2023 19:19:00","L"
"13/04/2023 19:14:28","12/04/2023","Demand, Actual DM, LDZ(SC), D+1","25756700.0000","13/04/2023 19:17:00","L"
"12/04/2023 19:15:42","11/04/2023","Demand, Actual DM, LDZ(SC), D+1","26496828.0000","12/04/2023 19:18:01","L"
"11/04/2023 19:13:56","10/04/2023","Demand, Actual DM, LDZ(SC), D+1","24232527.0000","11/04/2023 19:17:01","L"
"09/04/2023 19:15:42","08/04/2023","Demand, Actual DM, LDZ(SC), D+1","23920118.0000","09/04/2023 19:19:00","L"
"08/04/2023 19:15:10","07/04/2023","Demand, Actual DM, LDZ(SC), D+1","25549633.0000","08/04/2023 19:18:00","L"
"07/04/2023 19:13:28","06/04/2023","Demand, Actual DM, LDZ(SC), D+1","25308614.0000","07/04/2023 19:16:01","L"
"06/04/2023 19:14:51","05/04/2023","Demand, Actual DM, LDZ(SC), D+1","25831793.0000","06/04/2023 19:18:01","L"
"05/04/2023 19:15:28","04/04/2023","Demand, Actual DM, LDZ(SC), D+1","25883973.0000","05/04/2023 19:18:01","L"
"04/04/2023 19:14:04","03/04/2023","Demand, Actual DM, LDZ(SC), D+1","25463775.0000","04/04/2023 19:17:01","L"
"03/04/2023 19:15:33","02/04/2023","Demand, Actual DM, LDZ(SC), D+1","26187878.0000","03/04/2023 19:19:01","L"
"02/04/2023 19:15:27","01/04/2023","Demand, Actual DM, LDZ(SC), D+1","25947805.0000","02/04/2023 19:18:00","L"
"01/04/2023 19:16:36","31/03/2023","Demand, Actual DM, LDZ(SC), D+1","24060901.0000","01/04/2023 19:20:01","L"
"31/03/2023 19:14:47","30/03/2023","Demand, Actual DM, LDZ(SC), D+1","22375055.0000","31/03/2023 19:17:01","L"
"30/03/2023 19:15:15","29/03/2023","Demand, Actual DM, LDZ(SC), D+1","24112596.0000","30/03/2023 19:18:01","L"
"29/03/2023 19:14:33","28/03/2023","Demand, Actual DM, LDZ(SC), D+1","24779393.0000","29/03/2023 19:17:00","L"
"28/03/2023 19:15:31","27/03/2023","Demand, Actual DM, LDZ(SC), D+1","24942867.0000","28/03/2023 19:19:01","L"
"27/03/2023 19:15:21","26/03/2023","Demand, Actual DM, LDZ(SC), D+1","24915845.0000","27/03/2023 19:19:01","L"
"26/03/2023 19:15:37","25/03/2023","Demand, Actual DM, LDZ(SC), D+1","23238435.0000","26/03/2023 19:18:01","L"
"25/03/2023 19:16:02","24/03/2023","Demand, Actual DM, LDZ(SC), D+1","22319326.0000","25/03/2023 19:19:01","L"
"24/03/2023 19:14:43","23/03/2023","Demand, Actual DM, LDZ(SC), D+1","24112145.0000","24/03/2023 19:18:01","L"
"23/03/2023 19:14:58","22/03/2023","Demand, Actual DM, LDZ(SC), D+1","24418283.0000","23/03/2023 19:18:00","L"
"22/03/2023 19:14:30","21/03/2023","Demand, Actual DM, LDZ(SC), D+1","24747344.0000","22/03/2023 19:17:00","L"
"21/03/2023 19:16:10","20/03/2023","Demand, Actual DM, LDZ(SC), D+1","25539169.0000","21/03/2023 19:19:00","L"
"20/03/2023 19:15:33","19/03/2023","Demand, Actual DM, LDZ(SC), D+1","25240375.0000","20/03/2023 19:18:00","L"
"19/03/2023 19:14:36","18/03/2023","Demand, Actual DM, LDZ(SC), D+1","25207247.0000","19/03/2023 19:19:01","L"
"18/03/2023 19:15:53","17/03/2023","Demand, Actual DM, LDZ(SC), D+1","25521640.0000","18/03/2023 19:19:01","L"
"17/03/2023 19:15:59","16/03/2023","Demand, Actual DM, LDZ(SC), D+1","25402677.0000","17/03/2023 19:19:00","L"
"16/03/2023 19:14:58","15/03/2023","Demand, Actual DM, LDZ(SC), D+1","28907189.0000","16/03/2023 19:18:00","L"
"15/03/2023 19:16:04","14/03/2023","Demand, Actual DM, LDZ(SC), D+1","28543184.0000","15/03/2023 19:19:00","L"
"14/03/2023 19:13:19","13/03/2023","Demand, Actual DM, LDZ(SC), D+1","26811067.0000","14/03/2023 19:16:00","L"
"13/03/2023 19:14:52","12/03/2023","Demand, Actual DM, LDZ(SC), D+1","25572705.0000","13/03/2023 19:17:00","L"
"12/03/2023 19:14:16","11/03/2023","Demand, Actual DM, LDZ(SC), D+1","26506448.0000","12/03/2023 19:17:01","L"
"11/03/2023 19:15:55","10/03/2023","Demand, Actual DM, LDZ(SC), D+1","27658280.0000","11/03/2023 19:18:00","L"
"10/03/2023 19:14:46","09/03/2023","Demand, Actual DM, LDZ(SC), D+1","28110112.0000","10/03/2023 19:18:00","L"
"09/03/2023 19:14:50","08/03/2023","Demand, Actual DM, LDZ(SC), D+1","28960786.0000","09/03/2023 19:17:00","L"
"08/03/2023 19:15:10","07/03/2023","Demand, Actual DM, LDZ(SC), D+1","27921698.0000","08/03/2023 19:18:01","L"
"07/03/2023 19:14:56","06/03/2023","Demand, Actual DM, LDZ(SC), D+1","27730690.0000","07/03/2023 19:17:00","L"
"06/03/2023 19:14:56","05/03/2023","Demand, Actual DM, LDZ(SC), D+1","26776113.0000","06/03/2023 19:18:01","L"
"05/03/2023 19:12:39","04/03/2023","Demand, Actual DM, LDZ(SC), D+1","26920136.0000","05/03/2023 19:15:01","L"
"04/03/2023 19:13:07","03/03/2023","Demand, Actual DM, LDZ(SC), D+1","27597710.0000","04/03/2023 19:15:01","L"
"03/03/2023 19:13:16","02/03/2023","Demand, Actual DM, LDZ(SC), D+1","27957212.0000","03/03/2023 19:16:00","L"
"02/03/2023 19:15:45","01/03/2023","Demand, Actual DM, LDZ(SC), D+1","27764370.0000","02/03/2023 19:18:00","L"
"01/03/2023 19:15:27","28/02/2023","Demand, Actual DM, LDZ(SC), D+1","22954761.0000","01/03/2023 19:18:01","L"
"28/02/2023 19:14:43","27/02/2023","Demand, Actual DM, LDZ(SC), D+1","21226904.0000","28/02/2023 19:17:01","L"
"27/02/2023 19:14:41","26/02/2023","Demand, Actual DM, LDZ(SC), D+1","22091183.0000","27/02/2023 19:18:02","L"
"26/02/2023 19:16:02","25/02/2023","Demand, Actual DM, LDZ(SC), D+1","21232040.0000","26/02/2023 19:19:01","L"
"25/02/2023 19:15:47","24/02/2023","Demand, Actual DM, LDZ(SC), D+1","22619594.0000","25/02/2023 19:18:01","L"
"24/02/2023 19:14:27","23/02/2023","Demand, Actual DM, LDZ(SC), D+1","23943686.0000","24/02/2023 19:17:00","L"
"23/02/2023 19:15:19","22/02/2023","Demand, Actual DM, LDZ(SC), D+1","25120542.0000","23/02/2023 19:18:01","L"
"22/02/2023 19:19:48","21/02/2023","Demand, Actual DM, LDZ(SC), D+1","25141516.0000","22/02/2023 19:22:01","L"
"21/02/2023 19:16:16","20/02/2023","Demand, Actual DM, LDZ(SC), D+1","23622595.0000","21/02/2023 19:19:01","L"
"20/02/2023 19:15:45","19/02/2023","Demand, Actual DM, LDZ(SC), D+1","23616705.0000","20/02/2023 19:18:00","L"
"19/02/2023 19:15:07","18/02/2023","Demand, Actual DM, LDZ(SC), D+1","23825037.0000","19/02/2023 19:18:01","L"
"18/02/2023 19:17:57","17/02/2023","Demand, Actual DM, LDZ(SC), D+1","23774270.0000","18/02/2023 19:21:00","L"
"17/02/2023 19:14:38","16/02/2023","Demand, Actual DM, LDZ(SC), D+1","25675523.0000","17/02/2023 19:17:00","L"
"16/02/2023 19:14:10","15/02/2023","Demand, Actual DM, LDZ(SC), D+1","25946221.0000","16/02/2023 19:18:00","L"
"15/02/2023 19:13:38","14/02/2023","Demand, Actual DM, LDZ(SC), D+1","24562622.0000","15/02/2023 19:17:01","L"
"14/02/2023 19:16:09","13/02/2023","Demand, Actual DM, LDZ(SC), D+1","24818855.0000","14/02/2023 19:18:01","L"
"13/02/2023 19:14:03","12/02/2023","Demand, Actual DM, LDZ(SC), D+1","24141257.0000","13/02/2023 19:16:00","L"
"12/02/2023 19:13:15","11/02/2023","Demand, Actual DM, LDZ(SC), D+1","23385298.0000","12/02/2023 19:15:01","L"
"11/02/2023 19:16:00","10/02/2023","Demand, Actual DM, LDZ(SC), D+1","23477516.0000","11/02/2023 19:18:00","L"
"10/02/2023 19:15:21","09/02/2023","Demand, Actual DM, LDZ(SC), D+1","26580737.0000","10/02/2023 19:18:00","L"
"09/02/2023 19:13:34","08/02/2023","Demand, Actual DM, LDZ(SC), D+1","23121849.0000","09/02/2023 19:16:01","L"
"08/02/2023 19:14:43","07/02/2023","Demand, Actual DM, LDZ(SC), D+1","24905748.0000","08/02/2023 19:18:01","L"
"07/02/2023 19:12:54","06/02/2023","Demand, Actual DM, LDZ(SC), D+1","24524955.0000","07/02/2023 19:15:01","L"
"06/02/2023 19:15:39","05/02/2023","Demand, Actual DM, LDZ(SC), D+1","22679471.0000","06/02/2023 19:18:01","L"
