bus,p_nom,p_min_pu,type
St Fergus,0.0,1,Biomass gasification
Grangemouth,0.0,1,Biomass gasification
Teesside,0.0,1,Biomass gasification
Humberside,0.0,1,Biomass gasification
Theddlethorpe,753.4246575342466,1,Biomass gasification
Merseyside,0.0,1,Biomass gasification
Barrow,0.0,1,Biomass gasification
Bacton,753.4246575342466,1,Biomass gasification
Grain LNG,753.4246575342466,1,Biomass gasification
Southampton,753.4246575342466,1,Biomass gasification
South Wales,753.4246575342466,1,Biomass gasification
