bus,p_nom,p_min_pu,type
St Fergus,7030.867956423917,0,Networked Electrolysis
Grangemouth,4557.072517568443,0,Networked Electrolysis
Teesside,3546.952192317948,0,Networked Electrolysis
Humberside,4670.8455831217725,0,Networked Electrolysis
Theddlethorpe,0.0,0,Networked Electrolysis
Merseyside,3422.416809752819,0,Networked Electrolysis
Barrow,0.0,0,Networked Electrolysis
Bacton,7020.8743763415305,0,Networked Electrolysis
Grain LNG,1157.717815698056,0,Networked Electrolysis
Southampton,333.6318273658408,0,Networked Electrolysis
South Wales,2705.9539915386167,0,Networked Electrolysis
