bus,p_nom,p_min_pu,type
St Fergus,3555.7015091792614,1,Methane Reformation with CCUS
Grangemouth,3555.7015091792614,1,Methane Reformation with CCUS
Teesside,3555.7015091792614,1,Methane Reformation with CCUS
Humberside,3555.7015091792614,1,Methane Reformation with CCUS
Theddlethorpe,3555.7015091792614,1,Methane Reformation with CCUS
Merseyside,3555.7015091792614,1,Methane Reformation with CCUS
Barrow,0.0,1,Methane Reformation with CCUS
Bacton,3555.7015091792614,1,Methane Reformation with CCUS
Grain LNG,0.0,1,Methane Reformation with CCUS
Southampton,0.0,1,Methane Reformation with CCUS
South Wales,0.0,1,Methane Reformation with CCUS
