timestep,temperature
1,-1.132
2,-1.173
3,-1.225
4,-1.237
5,-1.224
6,-1.274
7,-1.338
8,-1.42
9,-1.438
10,-0.822
11,0.042
12,0.742
13,1.184
14,1.273
15,0.915
16,-0.07
17,-0.614
18,-0.623
19,-0.599
20,-0.572
21,-0.5
22,-0.411
23,-0.363
24,-0.32
25,-0.289
26,-0.243
27,-0.165
28,-0.149
29,-0.157
30,-0.173
31,-0.167
32,-0.167
33,-0.072
34,0.493
35,1.157
36,1.629
37,1.845
38,1.799
39,1.348
40,0.506
41,-0.015
42,-0.179
43,-0.376
44,-0.6
45,-0.837
46,-1.058
47,-1.224
48,-1.386
49,-1.539
50,-1.645
51,-1.777
52,-1.906
53,-2.022
54,-2.155
55,-2.299
56,-2.412
57,-2.396
58,-1.699
59,-0.682
60,0.131
61,0.575
62,0.634
63,0.102
64,-1.088
65,-1.857
66,-2.033
67,-2.14
68,-2.233
69,-2.298
70,-2.367
71,-2.429
72,-2.499
73,-2.564
74,-2.622
75,-2.666
76,-2.723
77,-2.759
78,-2.762
79,-2.75
80,-2.733
81,-2.616
82,-1.978
83,-1.066
84,-0.286
85,0.242
86,0.468
87,0.28
88,-0.566
89,-1.102
90,-1.1
91,-1.067
92,-1.04
93,-0.997
94,-1.001
95,-1.065
96,-1.16
97,-1.278
98,-1.365
99,-1.392
100,-1.391
101,-1.373
102,-1.375
103,-1.386
104,-1.436
105,-1.379
106,-0.887
107,-0.224
108,0.338
109,0.607
110,0.647
111,0.413
112,-0.107
113,-0.416
114,-0.494
115,-0.584
116,-0.663
117,-0.697
118,-0.773
119,-0.896
120,-0.997
121,-1.089
122,-1.144
123,-1.186
124,-1.211
125,-1.222
126,-1.206
127,-1.209
128,-1.28
129,-1.361
130,-1.182
131,-0.74
132,-0.283
133,0.001
134,0.019
135,-0.313
136,-1.063
137,-1.788
138,-2.216
139,-2.56
140,-2.881
141,-3.17
142,-3.331
143,-3.38
144,-3.414
145,-3.452
146,-3.455
147,-3.435
148,-3.407
149,-3.35
150,-3.287
151,-3.243
152,-3.196
153,-3.049
154,-2.342
155,-1.425
156,-0.657
157,-0.191
158,-0.077
159,-0.414
160,-1.228
161,-1.932
162,-2.175
163,-2.337
164,-2.45
165,-2.543
166,-2.654
167,-2.793
168,-2.942
169,-3.053
170,-3.173
171,-3.318
172,-3.408
173,-3.446
174,-3.479
175,-3.534
176,-3.595
177,-3.52
178,-2.887
179,-1.941
180,-1.061
181,-0.496
182,-0.306
183,-0.608
184,-1.426
185,-2.156
186,-2.386
187,-2.448
188,-2.487
189,-2.514
190,-2.5
191,-2.452
192,-2.431
193,-2.465
194,-2.509
195,-2.581
196,-2.635
197,-2.653
198,-2.685
199,-2.742
200,-2.816
201,-2.833
202,-2.321
203,-1.498
204,-0.75
205,-0.327
206,-0.315
207,-0.755
208,-1.594
209,-2.266
210,-2.481
211,-2.56
212,-2.567
213,-2.493
214,-2.349
215,-2.22
216,-2.155
217,-2.113
218,-2.059
219,-2.012
220,-1.955
221,-1.851
222,-1.696
223,-1.506
224,-1.316
225,-1.083
226,-0.549
227,0.197
228,0.854
229,1.269
230,1.405
231,1.245
232,0.863
233,0.56
234,0.507
235,0.524
236,0.539
237,0.546
238,0.519
239,0.453
240,0.385
241,0.323
242,0.279
243,0.237
244,0.221
245,0.189
246,0.176
247,0.176
248,0.195
249,0.266
250,0.656
251,1.102
252,1.424
253,1.604
254,1.619
255,1.405
256,0.819
257,0.257
258,0.066
259,-0.019
260,-0.065
261,-0.112
262,-0.199
263,-0.251
264,-0.217
265,-0.136
266,-0.096
267,-0.08
268,-0.042
269,0.019
270,0.085
271,0.159
272,0.231
273,0.379
274,0.763
275,1.179
276,1.491
277,1.626
278,1.624
279,1.491
280,1.219
281,0.984
282,0.904
283,0.81
284,0.743
285,0.689
286,0.614
287,0.541
288,0.466
289,0.403
290,0.359
291,0.298
292,0.218
293,0.144
294,0.084
295,0.014
296,-0.049
297,-0.062
298,0.115
299,0.42
300,0.73
301,0.953
302,1.042
303,0.954
304,0.592
305,0.248
306,0.187
307,0.161
308,0.123
309,0.066
310,-0.003
311,-0.06
312,-0.083
313,-0.07
314,-0.052
315,-0.035
316,-0.004
317,0.022
318,0.021
319,0
320,-0.031
321,0.012
322,0.366
323,0.821
324,1.206
325,1.458
326,1.573
327,1.476
328,1.123
329,0.831
330,0.756
331,0.731
332,0.749
333,0.82
334,0.858
335,0.847
336,0.839
337,0.848
338,0.891
339,0.929
340,1.007
341,1.118
342,1.231
343,1.454
344,1.753
345,2.104
346,2.521
347,2.903
348,3.206
349,3.533
350,3.82
351,3.977
352,3.948
353,3.881
354,3.874
355,3.909
356,3.957
357,3.981
358,3.967
359,3.894
360,3.825
361,3.733
362,3.597
363,3.469
364,3.396
365,3.314
366,3.26
367,3.232
368,3.263
369,3.356
370,3.517
371,3.728
372,3.979
373,4.198
374,4.335
375,4.269
376,3.958
377,3.676
378,3.652
379,3.629
380,3.597
381,3.569
382,3.461
383,3.279
384,3.066
385,2.834
386,2.621
387,2.453
388,2.399
389,2.392
390,2.434
391,2.472
392,2.467
393,2.519
394,3.106
395,3.839
396,4.467
397,4.904
398,5.052
399,4.773
