timestep,temperature
1,2.741
2,2.632
3,2.514
4,2.409
5,2.329
6,2.219
7,2.087
8,1.904
9,1.758
10,2.077
11,2.6
12,2.988
13,3.178
14,3.081
15,2.487
16,1.505
17,1.051
18,0.914
19,0.719
20,0.514
21,0.348
22,0.19
23,0.033
24,-0.122
25,-0.257
26,-0.393
27,-0.537
28,-0.65
29,-0.746
30,-0.808
31,-0.831
32,-0.867
33,-0.818
34,-0.15
35,0.687
36,1.387
37,1.847
38,1.849
39,1.24
40,0.033
41,-0.568
42,-0.679
43,-0.745
44,-0.78
45,-0.84
46,-0.863
47,-0.939
48,-1.005
49,-1.042
50,-1.078
51,-1.079
52,-1.069
53,-1.013
54,-0.92
55,-0.795
56,-0.652
57,-0.416
58,0.206
59,0.872
60,1.401
61,1.771
62,1.821
63,1.434
64,0.698
65,0.237
66,0.14
67,0.128
68,0.166
69,0.208
70,0.272
71,0.353
72,0.449
73,0.587
74,0.734
75,0.849
76,0.984
77,1.129
78,1.258
79,1.398
80,1.511
81,1.636
82,2.001
83,2.447
84,2.822
85,3.1
86,3.217
87,3.116
88,2.841
89,2.721
90,2.728
91,2.736
92,2.763
93,2.821
94,2.857
95,2.902
96,2.94
97,2.968
98,2.959
99,2.924
100,2.804
101,2.609
102,2.36
103,2.168
104,2.032
105,1.946
106,2.205
107,2.678
108,3.053
109,3.263
110,3.277
111,3.067
112,2.606
113,2.304
114,2.244
115,2.202
116,2.14
117,2.108
118,2.128
119,2.128
120,2.056
121,1.929
122,1.78
123,1.623
124,1.428
125,1.238
126,1.043
127,0.857
128,0.64
129,0.495
130,0.79
131,1.24
132,1.5
133,1.541
134,1.396
135,1.015
136,0.343
137,-0.195
138,-0.452
139,-0.693
140,-0.874
141,-1.049
142,-1.24
143,-1.397
144,-1.466
145,-1.434
146,-1.336
147,-1.233
148,-1.171
149,-1.068
150,-0.907
151,-0.699
152,-0.473
153,-0.218
154,0.325
155,1.038
156,1.658
157,2.128
158,2.425
159,2.487
160,2.333
161,2.294
162,2.402
163,2.456
164,2.581
165,2.69
166,2.764
167,2.853
168,2.908
169,2.959
170,2.949
171,2.894
172,2.867
173,2.81
174,2.739
175,2.622
176,2.367
177,1.97
178,1.804
179,1.999
180,2.281
181,2.466
182,2.466
183,2.152
184,1.37
185,0.667
186,0.593
