name,carrier,x,y
St Fergus,Hydrogen,-1.8413994,57.559551
Teesside,Hydrogen,-1.1855749,54.615092
Humberside,Hydrogen,-0.43883862,53.684668
Southampton,Hydrogen,-1.3934326,50.870689
East Yorkshire,Hydrogen,-0.3247024,54.092969
Theddlethorpe,Hydrogen,0.2220177,53.373273
Grain LNG,Hydrogen,0.68256718,51.450377
Grangemouth,Hydrogen,-3.7218913,56.019559
Merseyside,Hydrogen,-2.973938,53.49536
South Wales,Hydrogen,-5.0359726,51.712636
Cheshire Basin,Hydrogen,-2.5792041,52.934465
Wessex Basin,Hydrogen,-2.3587464,50.787178
Bacton,Hydrogen,1.4236656,52.883704
Sheffield-B/L,Hydrogen,-1.4685364,53.382508
Northampton-B/L,Hydrogen,-2.2416075,52.288963
Luton-B/L,Hydrogen,-0.4220701,51.888422
